conv_id,speaker,word_pos,pause_ms,pause_mark,pause_len,iu_len,iu_len_prev,on
57,57_JED,3309,0.0,1,3,3,4,1483.576
57,57_JED,3312,0.0,0,0,2,3,1485.124
57,57_JED,3314,0.0,1,2,2,2,1486.479
57,57_JED,3316,0.0,0,0,5,2,1487.279
57,57_JED,3321,0.0,1,3,5,5,1488.414
57,57_JED,3326,0.0,0,0,1,5,1490.775
57,57_JED,3327,0.0,0,0,5,1,1491.223
57,57_JED,3332,0.0,0,0,2,5,1492.357
57,57_JED,3334,0.0,1,2,4,2,1493.096
57,57_JED,3338,0.0,0,0,7,4,1494.525
57,57_JED,3345,0.0,0,0,9,7,1496.48
57,57_JED,3354,0.0,0,0,7,9,1499.807
57,57_JED,3361,0.0,1,3,5,7,1501.462
57,57_JED,3366,0.0,0,0,3,5,1503.865
57,57_JED,3369,0.0,0,0,5,3,1505.052
57,57_JED,3374,0.0,0,0,3,5,1506.8
57,57_JED,3377,0.0,0,0,8,3,1508.001
57,57_JED,3385,0.0,0,0,5,8,1511.709
57,57_JED,3390,0.0,0,0,9,5,1512.534
57,57_JED,3399,0.0,0,0,3,9,1514.315
57,57_JED,3402,0.0,0,0,5,3,1515.084
57,57_JED,3407,0.0,0,0,5,5,1516.132
57,57_JED,3412,0.0,0,0,3,5,1517.057
57,57_JED,3415,0.0,0,0,3,3,1517.986
57,57_JED,3418,0.0,1,3,5,3,1518.766
57,57_JED,3428,0.0,1,3,4,4,1522.597
57,57_JED,3432,0.0,0,0,3,4,1524.35
57,57_JED,3435,0.0,0,0,3,3,1524.875
57,57_JED,3438,0.0,1,2,5,3,1525.495
57,57_JED,3455,0.0,0,0,6,1,1531.521
57,57_JED,3461,0.0,0,0,5,6,1532.871
57,57_JED,3466,0.0,0,0,4,5,1533.896
57,57_JED,3470,0.0,0,0,7,4,1534.954
57,57_JED,3477,0.0,0,0,5,7,1537.266
57,57_JED,3482,0.0,0,0,13,5,1538.335
57,57_JED,3495,0.0,1,3,5,13,1541.435
57,57_JED,3500,0.0,0,0,3,5,1543.199
57,57_JED,3503,0.0,0,0,2,3,1544.506
57,57_NICK,3507,0.0,0,0,4,2,1546.386
57,57_JED,3512,0.0,1,3,1,1,1547.58
57,57_JED,3513,0.0,0,0,7,1,1549.369
57,57_JED,3520,0.0,1,3,4,7,1551.024
57,57_NICK,3529,0.0,0,0,8,4,1556.5
57,57_NICK,3537,0.0,1,3,7,8,1558.298
57,57_NICK,3544,0.0,1,3,3,7,1560.376
57,57_NICK,3547,0.0,1,3,7,3,1562.616
57,57_BENTON,3564,0.0,0,0,5,10,1567.971
57,57_NICK,3577,0.0,0,0,3,1,1571.247
58,58_SHERI,21,0.0,0,0,6,0,8.44
58,58_SHERI,27,0.0,0,0,1,6,10.8
58,58_STEVEN,29,0.0,0,0,6,1,12.406
58,58_SHERI,42,0.0,1,3,2,7,15.937
58,58_SHERI,44,0.0,0,0,3,2,19.36
58,58_SHERI,73,0.0,0,0,11,0,29.572
58,58_SHERI,84,0.0,0,0,5,11,32.084
58,58_SHERI,89,0.0,1,3,2,5,32.882
58,58_SHERI,91,0.0,0,0,8,2,34.8
58,58_SHERI,99,0.0,0,0,3,8,36.055
58,58_SHERI,102,0.0,0,0,5,3,36.905
58,58_SHERI,107,0.0,1,2,1,5,38.005
58,58_SHERI,108,0.0,0,0,6,1,39.015
58,58_SHERI,114,0.0,0,0,6,6,39.925
58,58_SHERI,122,0.0,0,0,7,0,43.263
58,58_SHERI,129,0.0,1,3,15,7,45.327
58,58_SHERI,144,0.0,1,3,7,15,48.712
58,58_SHERI,151,0.0,0,0,3,7,50.811
58,58_SHERI,154,0.0,0,0,4,3,51.606
58,58_SHERI,158,0.0,1,3,2,4,52.866
58,58_STEVEN,162,0.0,0,0,4,2,54.995
58,58_SHERI,167,0.0,1,3,9,1,56.02
58,58_SHERI,176,0.0,1,3,4,9,57.947
58,58_SHERI,180,0.0,0,0,1,4,58.986
58,58_SHERI,190,0.0,0,0,6,7,61.403
58,58_SHERI,196,0.0,1,2,7,6,63.273
58,58_SHERI,203,0.0,1,3,4,7,64.859
58,58_SHERI,207,0.0,1,3,7,4,66.539
58,58_SHERI,214,0.0,0,0,5,7,68.549
58,58_SHERI,230,0.0,0,0,2,9,72.462
58,58_SHERI,234,0.0,0,0,4,1,74.985
58,58_SHERI,238,0.0,1,3,12,4,76.055
58,58_STEVEN,251,0.0,1,2,1,1,80.767
58,58_STEVEN,252,0.0,1,2,4,1,81.128
58,58_SHERI,257,0.0,0,0,3,1,82.202
58,58_STEVEN,262,0.0,1,3,2,2,84.126
58,58_STEVEN,264,0.0,1,3,7,2,85.26
58,58_STEVEN,287,0.0,1,3,7,1,99.595
58,58_SHERI,301,0.0,0,0,2,7,102.965
58,58_SHERI,303,0.0,1,3,1,2,103.34
58,58_SHERI,304,0.0,1,3,2,1,103.846
58,58_SHERI,306,0.0,1,3,2,2,109.564
58,58_SHERI,308,0.0,0,0,12,2,115.642
58,58_SHERI,320,0.0,0,0,5,12,118.01
58,58_SHERI,325,0.0,1,3,6,5,119.192
58,58_SHERI,335,0.0,1,3,8,0,126.266
58,58_SHERI,343,0.0,0,0,3,8,133.899
58,58_SHERI,346,0.0,0,0,2,3,134.48
58,58_SHERI,348,0.0,0,0,1,2,136.055
58,58_SHERI,354,0.0,0,0,7,4,139.3
58,58_SHERI,361,0.0,1,3,8,7,141.628
58,58_SHERI,369,0.0,0,0,1,8,143.524
58,58_SHERI,370,0.0,0,0,7,1,143.999
58,58_STEVEN,377,0.0,1,3,9,0,146.165
58,58_SHERI,387,0.0,0,0,8,1,149.666
58,58_STEVEN,398,0.0,0,0,9,3,152.499
58,58_SHERI,437,0.0,0,0,3,8,159.006
58,58_SHERI,440,0.0,1,3,4,3,159.456
58,58_SHERI,444,0.0,0,0,9,4,161.095
58,58_SHERI,453,0.0,0,0,3,9,162.845
58,58_SHERI,467,0.0,0,0,13,1,166.003
58,58_SHERI,480,0.0,0,0,10,13,168.637
58,58_SHERI,502,0.0,1,3,10,11,175.001
58,58_STEVEN,518,0.0,0,0,1,6,177.923
58,58_STEVEN,519,0.0,1,2,5,1,178.423
58,58_SHERI,532,375.0,1,3,1,1,182.532
58,58_STEVEN,539,0.0,1,2,3,1,188.087
58,58_STEVEN,542,0.0,0,0,1,3,188.975
58,58_STEVEN,543,0.0,0,0,6,1,189.777
58,58_STEVEN,571,0.0,1,3,7,7,199.063
58,58_STEVEN,578,0.0,0,0,6,7,203.508
58,58_SHERI,593,0.0,1,3,4,3,208.655
58,58_SHERI,597,0.0,0,0,2,4,210.865
58,58_STEVEN,604,0.0,1,2,6,1,213.067
58,58_SHERI,610,455.99999999998886,1,2,1,0,214.63
58,58_SHERI,611,0.0,0,0,2,1,215.133
58,58_STEVEN,616,0.0,1,2,7,3,216.268
58,58_STEVEN,623,0.0,0,0,3,7,218.346
58,58_STEVEN,635,0.0,0,0,4,7,221.605
58,58_STEVEN,639,0.0,0,0,3,4,222.18
58,58_STEVEN,642,0.0,0,0,4,3,222.608
58,58_STEVEN,646,0.0,0,0,3,4,223.297
58,58_SHERI,658,0.0,0,0,4,9,227.691
58,58_SHERI,668,0.0,0,0,3,5,229.83
58,58_SHERI,671,0.0,0,0,7,3,230.259
58,58_STEVEN,679,0.0,1,3,5,1,233.813
58,58_STEVEN,684,0.0,1,3,3,5,235.793
58,58_STEVEN,687,0.0,1,3,4,3,236.95
58,58_STEVEN,691,0.0,1,3,3,4,238.457
58,58_STEVEN,694,0.0,1,3,2,3,240.358
