tag,family,lag,term,beta,p,n
ALL,wake_coarse,3,tee3_par,-0.046405421823055175,0.07537044578428044,1627
ALL,wake_coarse,3,surprisal,0.09458175487506729,0.0021059579486264906,1627
ALL,wake_coarse,3,ctee_m5,0.013465459271165556,0.5887654810275513,1627
ALL,wake_coarse,3,ntee_k100,0.22776126653497872,7.00750853283251e-18,1627
ALL,wake_coarse,4,tee3_perp,0.07614935087540041,0.029276642641655398,1627
ALL,wake_coarse,4,tee3_par,-0.052679962217821466,0.04051975020077613,1627
ALL,wake_coarse,4,surprisal,0.08780270554700088,0.003385945069796611,1627
ALL,wake_coarse,4,ctee_m5,0.009778071513191844,0.6978934858524319,1627
ALL,wake_coarse,4,ntee_k100,0.23333572542933428,4.557042902177134e-19,1627
ALL,wake_coarse,5,tee3_perp,0.07200103392373082,0.03596133068459134,1627
ALL,wake_coarse,5,tee3_par,-0.053056327737902184,0.03448727822737268,1627
ALL,wake_coarse,5,surprisal,0.08283147119523449,0.004584649699455312,1627
ALL,wake_coarse,5,ctee_m5,0.006654008099286393,0.7932432788712004,1627
ALL,wake_coarse,5,ntee_k100,0.2364234276300391,2.828914891865297e-20,1627
ALL,wake_coarse,6,tee3_perp,0.025498391802656544,0.4391977365398877,1627
ALL,wake_coarse,6,tee3_par,-0.06283375599177039,0.008847426071009119,1627
ALL,wake_coarse,6,surprisal,0.08194148313759692,0.0030127291925565983,1627
ALL,wake_coarse,6,ctee_m5,-0.012356322216348194,0.6358372503456211,1627
ALL,wake_coarse,6,ntee_k100,0.22481427361872808,1.557803073164927e-19,1627
ALL,wake_coarse,7,tee3_perp,0.017776277255484918,0.5731357700479704,1627
ALL,wake_coarse,7,tee3_par,-0.050295813742488406,0.03460992075379891,1627
ALL,wake_coarse,7,surprisal,0.05485001904346216,0.03595018137624479,1627
ALL,wake_coarse,7,ctee_m5,-0.022380192679065422,0.3947413961943763,1627
ALL,wake_coarse,7,ntee_k100,0.2035976666001015,6.20350012207899e-17,1627
ALL,wake_coarse,8,tee3_perp,0.020119514165138557,0.5066963616244905,1627
ALL,wake_coarse,8,tee3_par,-0.04630374278415039,0.05079780732390814,1627
ALL,wake_coarse,8,surprisal,0.04805292286981032,0.06072967303972534,1627
ALL,wake_coarse,8,ctee_m5,-0.022323850636097528,0.3832714626611555,1627
ALL,wake_coarse,8,ntee_k100,0.1921429177987579,4.378810108018674e-15,1627
ALL,wake_coarse,9,tee3_perp,0.027584062781114818,0.35242071442742007,1627
ALL,wake_coarse,9,tee3_par,-0.05198589882991597,0.02840508980834581,1627
ALL,wake_coarse,9,surprisal,0.04826515684256123,0.06276202184397554,1627
ALL,wake_coarse,9,ctee_m5,-0.027384774236904774,0.2663469015912321,1627
ALL,wake_coarse,9,ntee_k100,0.18467180513818932,9.202978347383726e-14,1627
ALL,wake_coarse,10,tee3_perp,0.03588850112605675,0.2289281840388968,1627
ALL,wake_coarse,10,tee3_par,-0.06187723807011109,0.012119755052187172,1627
ALL,wake_coarse,10,surprisal,0.052737260981956774,0.04787800361429588,1627
ALL,wake_coarse,10,ctee_m5,-0.026651429420203272,0.2855875618470479,1627
ALL,wake_coarse,10,ntee_k100,0.17537869613019766,2.4379031937007278e-12,1627
ALL,wake_nbhd,1,tee3_perp,0.12633823002451738,0.0029229373527530633,1627
ALL,wake_nbhd,1,tee3_par,-0.03816782101765608,0.14914169258632526,1627
ALL,wake_nbhd,1,surprisal,0.014710726363546927,0.6285164042419529,1627
ALL,wake_nbhd,1,ctee_m5,0.009620992849834845,0.7362590363652397,1627
